Timestamp,Points,SM,Red,Nir,Lst,NDVI,TVDI 1,TVDI 2,TVDI 3
9/19/2022 14:03,7,0.095,136.414,176.192,21.4145,0.127245,0.526642,0.567838,0.379605
9/19/2022 14:03,8,0.101,130.142,169.592,21.0701,0.131617,0.326083,0.422637,0.293179
9/19/2022 14:05,9,0.148,110.123,140.839,20.7996,0.122393,0.338854,0.351703,0.225289
9/19/2022 14:05,10,0.143,117.067,151.516,20.7079,0.12826,0.221734,0.299919,0.202252
9/19/2022 14:06,11,0.113,136.418,180.085,20.9694,0.137965,0.190316,0.366849,0.26789
9/19/2022 14:06,12,0.052,114.092,151.179,20.791,0.139807,0.0825146,0.301185,0.223134
9/19/2022 14:07,13,0.047,92.3727,122.366,20.5906,0.139674,-0.00443273,0.233511,0.172819
9/19/2022 14:07,14,0.052,125.385,164.258,20.8369,0.134208,0.18955,0.331144,0.234651
9/19/2022 14:07,15,0.129,104.706,135.697,20.0882,0.128911,-0.0449405,0.0689134,0.0467306
9/19/2022 14:08,16,0.135,81.6513,102.535,20.5155,0.113384,0.342502,0.261575,0.153985
9/20/2022 12:01,1,0.126,114.164,125.958,19.9395,0.0491158,0.289083,0.423059,0.348319
9/20/2022 12:02,2,0.118,121.419,141.323,19.7869,0.0757551,0.293452,0.399143,0.309364
9/20/2022 12:02,3,0.08,147.629,171.671,21.1647,0.0752971,0.825818,0.851997,0.661066
9/20/2022 12:02,4,0.063,130.71,159.436,21.6766,0.0990029,1.09025,1.08019,0.791725
9/20/2022 12:03,5,0.044,135.151,171.514,21.1837,0.118577,0.951002,0.954718,0.665906
9/20/2022 12:03,6,0.074,148.377,178.21,20.7349,0.0913476,0.701034,0.738258,0.551347
9/20/2022 12:04,7,0.118,130.428,152.937,19.5683,0.0794318,0.217416,0.329983,0.253563
9/20/2022 12:04,8,0.112,117.016,127.091,19.6028,0.0412709,0.142602,0.313264,0.262374
9/20/2022 12:05,9,0.187,98.9369,107.702,19.5749,0.0424193,0.134586,0.305522,0.255253
9/20/2022 12:06,10,0.152,109.983,131.042,19.54,0.0873724,0.225112,0.326685,0.246328
9/20/2022 12:07,11,0.13,120.505,152.444,19.4293,0.117017,0.252486,0.311398,0.218077
9/20/2022 12:07,12,0.121,98.5449,147.312,18.7552,0.198357,0.179077,0.0832251,0.0460192
9/20/2022 12:08,13,0.113,92.0386,147.67,19.0602,0.232078,0.392824,0.251838,0.123868
9/20/2022 12:08,14,0.147,111.434,142.126,19.6863,0.121046,0.364143,0.40934,0.283679
9/20/2022 12:09,15,0.181,96.9601,115.248,19.0478,0.0861807,0.0306733,0.159619,0.120701
9/20/2022 12:09,16,0.176,82.0113,91.5683,19.3971,0.0550581,0.0952408,0.258265,0.209858
9/20/2022 13:41,1,0.129,118.089,175.708,22.3458,0.196121,0.291687,0.430418,0.392348
9/20/2022 13:42,2,0.136,126.027,185.662,22.204,0.191329,0.215213,0.376239,0.357469
9/20/2022 13:42,3,0.065,145.805,210.713,23.7734,0.182062,0.647737,0.725666,0.743575
9/20/2022 13:43,4,0.074,129.873,203.044,24.1554,0.219789,1.18673,1.16149,0.837558
9/20/2022 13:44,5,0.069,132.788,205.184,23.9983,0.214207,1.05063,1.04293,0.798911
9/20/2022 13:45,6,0.055,143.583,210.052,23.2447,0.18796,0.52809,0.627804,0.613503
9/20/2022 13:45,7,0.109,134.108,195.331,22.0666,0.185842,0.140834,0.32553,0.323662
9/20/2022 13:46,8,0.12,122.029,178.242,22.2399,0.187208,0.203083,0.372521,0.366289
9/20/2022 13:46,9,0.156,95.731,153.528,22.099,0.231874,0.485277,0.531567,0.331629
9/20/2022 13:47,10,0.158,106.372,168.63,21.7239,0.226392,0.277295,0.358307,0.239342
9/20/2022 13:48,11,0.119,124.564,187.431,21.431,0.201502,0.0101268,0.192666,0.167285
9/20/2022 13:48,12,0.093,95.8155,170.682,21.1825,0.280927,0.639245,0.463144,0.10614
